iter	Passed	Remaining
1454	26891	10072
1455	26909	10054
1456	26929	10036
1457	26949	10018
1458	26965	9998
1459	26983	9980
1460	27002	9961
1461	27019	9942
1462	27036	9923
1463	27057	9906
1464	27074	9887
1465	27092	9868
1466	27110	9849
1467	27129	9831
1468	27150	9814
1469	27169	9795
1470	27187	9777
1471	27205	9758
1472	27223	9739
1473	27242	9721
1474	27260	9702
1475	27278	9684
1476	27296	9665
1477	27313	9646
1478	27332	9628
1479	27350	9609
1480	27368	9591
1481	27387	9572
1482	27405	9554
1483	27425	9536
1484	27444	9517
1485	27463	9499
1486	27481	9480
1487	27500	9462
1488	27519	9444
1489	27537	9425
1490	27555	9406
1491	27573	9388
1492	27592	9370
1493	27612	9352
1494	27630	9333
1495	27647	9314
1496	27665	9295
1497	27682	9276
1498	27702	9258
1499	27720	9240
1500	27739	9221
1501	27759	9203
1502	27778	9185
1503	27798	9167
1504	27817	9149
1505	27835	9130
1506	27853	9112
1507	27873	9093
1508	27893	9075
1509	27910	9057
1510	27928	9038
1511	27946	9019
1512	27964	9001
1513	27982	8982
1514	28001	8964
1515	28022	8946
1516	28042	8928
1517	28060	8909
1518	28077	8890
1519	28094	8872
1520	28111	8853
1521	28131	8835
1522	28150	8816
1523	28169	8798
1524	28186	8779
1525	28204	8760
1526	28223	8742
1527	28240	8723
1528	28259	8705
1529	28277	8686
1530	28296	8668
1531	28314	8649
1532	28332	8630
1533	28351	8612
1534	28369	8594
1535	28388	8575
1536	28406	8557
1537	28424	8538
1538	28443	8520
1539	28461	8501
1540	28480	8483
1541	28499	8464
1542	28517	8446
1543	28534	8427
1544	28552	8408
1545	28570	8390
1546	28588	8371
1547	28606	8352
1548	28624	8334
1549	28643	8315
1550	28662	8297
1551	28678	8278
1552	28707	8262
1553	28725	8244
1554	28743	8225
1555	28759	8206
1556	28788	8190
1557	28804	8171
1558	28821	8152
1559	28839	8134
1560	28857	8115
1561	28874	8096
1562	28892	8077
1563	28909	8059
1564	28926	8040
1565	28943	8021
1566	28961	8002
1567	28978	7983
1568	28995	7965
1569	29013	7946
1570	29031	7927
1571	29050	7909
1572	29066	7890
1573	29082	7870
1574	29099	7852
1575	29116	7833
1576	29132	7814
1577	29149	7795
1578	29165	7776
1579	29183	7757
1580	29200	7738
1581	29216	7719
1582	29233	7700
1583	29251	7682
1584	29271	7664
1585	29289	7645
1586	29307	7626
1587	29325	7608
1588	29343	7589
1589	29359	7570
1590	29376	7551
1591	29394	7533
1592	29411	7514
1593	29429	7495
1594	29446	7477
1595	29466	7458
1596	29485	7440
1597	29501	7421
1598	29519	7402
1599	29536	7384
1600	29554	7365
1601	29572	7346
1602	29590	7328
1603	29607	7309
1604	29627	7291
1605	29644	7272
1606	29662	7254
1607	29682	7235
1608	29702	7217
1609	29722	7199
